Key,English,French
KEY_HAVEN_MOTO_ANU1,The Womb of Tomorrow,Le berceau de l'avenir
KEY_HAVEN_MOTO_ANU10,We Can Be Better,Nous pouvons nous améliorer
KEY_HAVEN_MOTO_ANU100,Hope Requires Change,Le changement a besoin d'espoir
KEY_HAVEN_MOTO_ANU101,A Better World Waits To Be Born,Un monde meilleur attend de naître
KEY_HAVEN_MOTO_ANU102,"Mutation Is Not The End, But The Beginning","La mutation n'est pas la fin, mais le début"
KEY_HAVEN_MOTO_ANU103,True Purity Exists Only In The Soul,La pureté n'existe que dans l'âme
KEY_HAVEN_MOTO_ANU104,Blessed by the Mysteries of the Exalted,Bénis par les mystères de l'Exaltée
KEY_HAVEN_MOTO_ANU105,Anu Smile Upon Us,Nous recevons le sourire d'Anu
KEY_HAVEN_MOTO_ANU106,The Deluge Will Cease When We Learn To Breathe Water,Le Déluge cessera lorsque nous saurons respirer sous l'eau
KEY_HAVEN_MOTO_ANU107,Blessed Metamorphosis,Métamorphose bénie
KEY_HAVEN_MOTO_ANU108,"The Soul Commands, The Body Obeys","L'âme commande, le corps obéit"
KEY_HAVEN_MOTO_ANU11,Nothing Lasts Forever but the Certainty of Change,Rien ne dure jamais sauf la certitude du changement
KEY_HAVEN_MOTO_ANU12,Beauty in a Handful of Dust,La beauté dans une poignée de poussière
KEY_HAVEN_MOTO_ANU13,Hear the Ancient Melody,Le son de l'ancienne mélodie
KEY_HAVEN_MOTO_ANU14,Salvation is at Hand,Le salut est proche
KEY_HAVEN_MOTO_ANU15,"The Church is Mother, the Church is Father",L'Église est à la fois Mère et Père
KEY_HAVEN_MOTO_ANU16,We Are of the Earth,Nous sommes de la Terre
KEY_HAVEN_MOTO_ANU17,Gaze at the Stars and Dream,Observez les étoiles et rêvez
KEY_HAVEN_MOTO_ANU18,Embrace the New Birth,Acceptez la nouvelle naissance
KEY_HAVEN_MOTO_ANU19,Faith in the Exalted is Faith in Tomorrow,"La foi en l'Exaltée, c'est la foi en l'avenir"
KEY_HAVEN_MOTO_ANU2,We Dream of the Dead God,Nous rêvons du Dieu défunt
KEY_HAVEN_MOTO_ANU20,Humanity Will Thrive,L'humanité s'épanouira
KEY_HAVEN_MOTO_ANU21,Perfect Souls in Imperfect Bodies,Des âmes imparfaites dans des corps parfaits
KEY_HAVEN_MOTO_ANU22,Hail Anu,Ave Anu
KEY_HAVEN_MOTO_ANU23,We Are Not Condemned to Eternal Sin,Nous ne sommes pas condamnés au péché éternel
KEY_HAVEN_MOTO_ANU24,Blessed by the Sacred Beasts,Bénis par les Bêtes sacrées
KEY_HAVEN_MOTO_ANU25,Twice Risen from the Mud,Deux fois nés de la boue
KEY_HAVEN_MOTO_ANU26,Hope from Above,Espoir d'en haut
KEY_HAVEN_MOTO_ANU27,All That Is Written May Change,Tout ce qui est écrit peut changer
KEY_HAVEN_MOTO_ANU28,Faith Without Corruption,Foi sans corruption
KEY_HAVEN_MOTO_ANU29,Rejoice and Give Thanks,Réjouissez-vous et rendez grâce
KEY_HAVEN_MOTO_ANU3,"Mortify the Flesh, Glorify the Soul","Mortifiez la chair, glorifiez l'âme"
KEY_HAVEN_MOTO_ANU30,The Waters of Life Renew Us,Les Eaux de vie nous transforment
KEY_HAVEN_MOTO_ANU31,It Moves in the Deep,Il bouge dans les profondeurs
KEY_HAVEN_MOTO_ANU32,"Evolution of the Body, Salvation of the Soul","Évolution du corps, salut de l'âme"
KEY_HAVEN_MOTO_ANU33,Where the Seaweed Sighs,Où soupirent les algues
KEY_HAVEN_MOTO_ANU34,Exult and be Uplifted,Exulter et être encouragé
KEY_HAVEN_MOTO_ANU35,Children of Evolution,Enfants de l'évolution
KEY_HAVEN_MOTO_ANU36,Deep Waters Are Still,Les eaux profondes sont calmes
KEY_HAVEN_MOTO_ANU37,A Light in the Black Sky,Une lumière dans le ciel noir
KEY_HAVEN_MOTO_ANU38,Evolve or Perish,Évoluer ou périr
KEY_HAVEN_MOTO_ANU39,Just Because We're Mutants Worshipping A Dead God Doesn't Mean We Don't Have A Sense Of Humour,Être des mutants qui vénèrent un Dieu défunt ne signifie pas que nous n'avons pas le sens de l'humour
KEY_HAVEN_MOTO_ANU4,All Hail the Divine Flesh,Ave Chair divine
KEY_HAVEN_MOTO_ANU40,Drowned in the Mystery of Hope,Noyés dans le mystère de l'espoir
KEY_HAVEN_MOTO_ANU41,The Day Approaches,Le jour approche
KEY_HAVEN_MOTO_ANU42,Garlanded with the Leaves of Time,Décorés par les feuilles du temps
KEY_HAVEN_MOTO_ANU43,One Day the Moon Will Flower,"Un jour, la lune fleurira"
KEY_HAVEN_MOTO_ANU44,Where the Black Moss Grows,Où pousse la mousse noire
KEY_HAVEN_MOTO_ANU45,Carved into Coral,Sculpté dans le corail
KEY_HAVEN_MOTO_ANU46,Worship the Divine Alchemist,Vénérez l'alchimiste divin
KEY_HAVEN_MOTO_ANU47,"Silver into Gold, Death into Life","L'argent devient or, la mort devient vie"
KEY_HAVEN_MOTO_ANU48,Immersed in the Streams of Time,Immersion dans les courants du temps
KEY_HAVEN_MOTO_ANU49,The Road of Change Passes Through the Vale of Impossibility,La voie du changement passe par le vallon de l'impossibilité
KEY_HAVEN_MOTO_ANU5,That Is Not Dead Which Can Eternal Lie,N'est pas mort qui peut reposer pour l'éternité
KEY_HAVEN_MOTO_ANU50,"The Old is Dying, the New Must be Born","L'ancien se meurt, le nouveau doit naître"
KEY_HAVEN_MOTO_ANU51,Break The Past To Shape The Future,Rompre avec le passé pour façonner l'avenir
KEY_HAVEN_MOTO_ANU52,Death Is A Road,La mort est une voie
KEY_HAVEN_MOTO_ANU53,We Are Made Anew In Worship,Nous sommes recréés dans la vénération
KEY_HAVEN_MOTO_ANU54,"All Will Bleed, All Will Heal","Tout saignera, tout guérira"
KEY_HAVEN_MOTO_ANU55,The Path of Truth,La voie de la vérité
KEY_HAVEN_MOTO_ANU56,You Are Not Lost,Vous n'êtes pas perdu
KEY_HAVEN_MOTO_ANU57,Faith Is Our Flame,La foi est notre flamme
KEY_HAVEN_MOTO_ANU58,Our Prayers Are Answered,Nos prières sont exaucées
KEY_HAVEN_MOTO_ANU59,As Was Prophesied,Comme l'a annoncé la prophétie
KEY_HAVEN_MOTO_ANU6,The Future Lies Within,Le futur se trouve à l'intérieur
KEY_HAVEN_MOTO_ANU60,And The Worm Shall Devour The World; But The World Shall Live,Et le ver dévorera le monde ; mais le monde vivra
KEY_HAVEN_MOTO_ANU61,Let All Transgression Be Purged,Que toute transgression soit purgée
KEY_HAVEN_MOTO_ANU62,She Has Shown Us The Way,Elle nous a montré la voie
