Key,English,French
ALN_ACIDTECH_RESEARCHDEF_COMPLETE,Pandorans have enhanced their capability with acid based combat systems.,Les Pandoriens ont amélioré leur capacité avec des mécanismes caustiques de combat.
ALN_ACIDTECH_RESEARCHDEF_NAME,PANDORAN ACID TECH,TECHNOLOGIE CAUSTIQUE PANDORIENNE
ALN_ACIDWORM_EGG_RESEARCHDEF_COMPLETE,"Species classification W-A-POD
A worm egg containing the Acidworm species. Reports claim that if disturbed the pod will break, releasing the creature inside.","Classification de l'espèce W-A-POD
Un œuf de ver contenant l'espèce Ver caustique. D'après les rapports, s'il est perturbé, l'œuf se casse pour libérer la créature qu'il contient."
ALN_ACIDWORM_EGG_RESEARCHDEF_NAME,ACIDWORM EGG,ŒUF DE VER CAUSTIQUE
ALN_ACIDWORM_RESEARCHDEF_COMPLETE,"Species classification W-A
A subspecies of worm that has mutated to release a highly corrosive substance upon death. As other worm subtypes, it focuses on anything it regards hostile, including the occasional vehicle.","Classification de l'espèce W-A
Une sous-espèce de ver qui a muté pour libérer une substance extrêmement corrosive à sa mort. Tout comme les autres sous-types de vers, il se concentre sur tout ce qu'il considère comme hostile, ce qui inclut parfois des véhicules."
ALN_ACIDWORM_RESEARCHDEF_NAME,ACIDWORM,VER CAUSTIQUE
ALN_ADVANCEDCOMMANDO2_RESEARCHDEF_COMPLETE,"Species classification A-Gamma-2
A mutation of the Scourge with a biotechnologically superior grenade attachment. It remains unknown whether the Pandorans are producing the weapons or have found a way to biologically enhance them. ","Classification de l'espèce A-Gamma-2
Une mutation du Fléau avec une grenade au niveau biotechnologique supérieur. Nous ne savons toujours pas si les Pandoriens produisent ces armes ou s'ils ont trouvé un moyen de les améliorer de façon biologique."
ALN_ADVANCEDCOMMANDO2_RESEARCHDEF_NAME,ARTHRON SCOURGE ALPHA,ARTHRON FLÉAU ALPHA
ALN_ADVANCEDCOMMANDO_RESEARCHDEF_COMPLETE,"Species classification A-Gamma-1
A variation of Scourge, this subspecies is equipped with a superior machine gun and is better capable of using it. Observation suggests that the weapon has merged with the biological part of the creature's arm.","Classification de l'espèce A-Gamma-1
Une variante du Fléau, cette sous-espèce est équipée d'une mitrailleuse supérieure qu'elle peut mieux utiliser. D'après nos observations, l'arme a fusionné avec la partie biologique du bras de la créature."
ALN_ADVANCEDCOMMANDO_RESEARCHDEF_NAME,ARTHRON SCOURGE ALPHA,ARTHRON FLÉAU ALPHA
ALN_ADVANCEDPRETORIAN2_RESEARCHDEF_COMPLETE,"Species classification A-Delta-2
A mutation of the Tyrant, this subspecies has evolved a thicker carapace capable of withstanding standard weapons. The creature also has a large caliber firearm as well as enhanced perception.","Classification de l'espèce A-Delta-2
Une mutation du Tyran, cette sous-espèce a développé une carapace plus épaisse capable de résister aux armes standard. Cette créature a également une arme de gros calibres et une perception accrue."
ALN_ADVANCEDPRETORIAN2_RESEARCHDEF_NAME,ARTHRON TYRANT ALPHA,ARTHRON TYRAN ALPHA
