Key,English,French
PX_AGL_RESEARCHDEF_BENEFITS,Vidar Grenade Launcher is available for production,Le lance-grenades Vidar est disponible à la production
PX_AGL_RESEARCHDEF_COMPLETE,"The new, lightweight Vidar launcher adds extra capability to our assault class operatives. Its compact rounds, long-range, and quick targeting provide many advantages over the conventional grenade, even though its explosive power is roughly similar.","Le nouveau lance-grenades Vidar léger renforce la capacité de nos Unités d'assaut. Ses cartouches compactes, sa longue portée et sa visée rapide offrent beaucoup plus d'avantages qu'un lance-grenades traditionnel, même si sa puissance explosive est similaire."
PX_AGL_RESEARCHDEF_NAME,Agile Grenade Launcher Development,Développement d'un lance-grenades leste
PX_AGL_RESEARCHDEF_UNLOCK,The appearance of a deadly new worm mutation - the Acidworm - has prompted our team to consider a better way to take out these creatures from a safer distance.,"L'apparition d'un nouveau ver mutant mortel, le Ver caustique, a incité notre équipe à réfléchir à une méthode plus efficace pour éliminer ces créatures à une distance moins risquée."
PX_BIOGAS_RESEARCHDEF_BENEFITS,Biogas Launcher and Biogas Grenades are available for production,Le lance-grenades de biogaz et ses grenades sont disponibles à la production
PX_BIOGAS_RESEARCHDEF_COMPLETE,"We have developed a new biological weapon that targets Pandoran biochemistry. When deployed as an aerosol, it provides a wide area of effect, damaging Pandoran tissues and infecting both body and mind. It is still hazardous to humans, so it is not a completely targeted weapon, but it is a step in the right direction.","Nous avons créé une nouvelle arme biologique qui cible la biochimie pandorienne. Déployée comme aérosol, elle peut produire une vaste zone d'effet, infligeant des dégâts aux tissus des Pandoriens et infectant le corps et l'esprit. Elle reste dangereuse pour les humains, ce n'est donc pas une arme complètement calibrée, mais c'est un pas dans la bonne direction."
PX_BIOGAS_RESEARCHDEF_NAME,Biogas Technology,Technologie de biogaz
PX_BIOGAS_RESEARCHDEF_UNLOCK,Research into the Scylla's complex genetic code has provided valuable breakthroughs in the field of bio-weapons.,La recherche sur le code génétique complexe de la Scylla a permis de faire des avancées utiles dans le domaine des armes biologiques.
PX_BLASTRESISTANCEVEST_RESEARCHDEF_BENEFITS,Blast-Res Vest is available for production,Le gilet anti-explosion est disponible à la production
PX_BLASTRESISTANCEVEST_RESEARCHDEF_COMPLETE,"The new blast resistance vest can be fitted under all torso armor sections. It reduces the impact of explosive munitions by roughly half, providing valuable protection against the new Pandoran threats.","Le nouveau gilet anti-explosion peut se porter sous toutes les sections d'armure du torse. L'impact des munitions explosives est réduit environ de moitié, offrant une protection non négligeable contre les nouvelles menaces pandoriennes."
PX_BLASTRESISTANCEVEST_RESEARCHDEF_NAME,Blast Resistance Technology,Technologie de résistance aux explosions
